city,bedrooms,bathrooms,square_feet,year_built,price
Indianapolis,6,2,4980,2016,649945.41
San Francisco,4,3,716,1992,735409.62
San Jose,6,3,871,2022,869666.6
Fort Worth,6,1,2953,1977,528568.5
Charlotte,4,3,2340,1961,458728.55
Los Angeles,2,1,859,2007,442260.07
Chicago,4,3,1637,2023,456331.6
San Francisco,2,1,3490,1953,1281278.98
Austin,5,4,1587,2011,745887.89
New York,4,1,3526,1922,1220962.9
Los Angeles,1,1,1448,1932,415967.13
San Diego,2,1,3129,2003,872815.16
Phoenix,4,2,637,1935,210228.43
Columbus,4,3,1756,1973,303673.31
Dallas,3,2,4563,1992,773872.98
San Jose,4,1,2619,1951,1130305.32
San Diego,4,3,1408,1924,556027.98
Miami,2,1,1916,1938,451478.17
Phoenix,2,1,1918,1985,338298.37
Chicago,3,1,3974,1993,745281.69
San Jose,2,1,3967,1936,1313106.94
Los Angeles,2,1,4963,1925,1435139.9
Jacksonville,4,1,1502,1985,277250.33
Fort Worth,1,1,4453,1959,557886.67
Dallas,6,5,1869,1972,479301.0
Philadelphia,5,4,973,2012,389487.06
San Antonio,2,1,4818,1957,569868.73
Dallas,1,1,4555,1945,660170.37
Seattle,2,1,3679,1979,1019735.44
Phoenix,2,1,4797,1953,710930.3
Austin,6,5,1677,2022,842805.15
Miami,5,2,2802,2021,907703.39
San Antonio,5,1,3606,1928,491816.75
San Francisco,2,1,1372,1964,655051.13
Los Angeles,5,2,1435,1950,665577.94
Miami,5,4,3471,1941,973133.45
Houston,6,3,2457,1983,484354.49
Houston,6,2,2806,2022,547288.36
Chicago,6,2,606,1968,298593.85
San Antonio,2,1,4850,1989,604221.73
Houston,4,3,931,1992,284518.72
San Diego,1,1,2597,2021,740361.74
Houston,1,1,589,1984,124390.87
Los Angeles,2,1,2212,1936,708701.84
Chicago,1,1,1450,1978,269075.32
Houston,1,1,2172,1980,310235.72
New York,4,1,1394,1995,757069.62
Phoenix,5,1,1356,2019,367343.79
Phoenix,5,1,1610,1937,341003.18
Austin,6,1,1691,1921,573891.08
Phoenix,1,1,4920,1928,677747.53
Phoenix,2,1,3352,1984,514505.03
Denver,5,3,1378,1967,486806.77
Houston,6,1,2584,1956,476647.65
Fort Worth,1,1,4075,1933,480901.94
Denver,4,2,1692,2005,534844.67
New York,3,2,3772,1945,1357374.05
Dallas,2,1,1422,1975,281087.51
Columbus,1,1,1306,1926,140430.12
Chicago,1,1,3794,2005,622345.1
Seattle,4,2,3406,1973,1089708.82
Philadelphia,1,1,2412,2000,395440.28
Indianapolis,1,1,2497,1931,257528.92
New York,2,1,3806,1976,1319244.19
Miami,2,1,3182,1984,828366.27
San Jose,5,4,4621,1957,1894822.0
Charlotte,4,2,3580,1965,615521.13
Los Angeles,2,1,2105,1937,680785.21
Chicago,3,2,1541,1998,365929.47
Fort Worth,1,1,1152,1986,196877.7
Fort Worth,6,4,3884,2016,685613.76
Seattle,2,1,4934,1934,1235161.73
San Jose,2,1,742,1942,346453.56
Los Angeles,1,1,2460,2024,848477.49
San Diego,2,1,4087,1951,1045038.98
Miami,3,2,3996,1951,996197.32
Miami,6,1,4520,1987,1181114.79
San Antonio,5,4,1785,1933,335203.46
Miami,1,1,4939,2004,1099919.74
San Diego,6,5,1472,1972,788724.74
Austin,1,1,793,1945,226801.96
Philadelphia,1,1,1923,1945,279730.18
Los Angeles,1,1,890,2003,384170.29
San Diego,5,2,1309,2013,648950.44
Chicago,4,1,4160,1933,714443.27
Fort Worth,5,4,676,1949,247669.27
Seattle,6,5,1405,2019,833838.75
Denver,2,1,1528,1979,375784.04
Miami,1,1,1468,1985,405593.14
New York,5,4,3553,1986,1577290.75
Charlotte,2,1,4324,1972,629580.74
San Antonio,2,1,3353,2021,467888.68
San Diego,2,1,3440,1991,985937.25
Chicago,4,2,3014,2021,631833.72
Jacksonville,1,1,2736,1999,354848.83
Denver,2,1,1157,2020,360608.03
Seattle,1,1,4642,1986,1193229.81
Charlotte,5,1,3709,1920,621474.53
Houston,1,1,3617,1983,510037.06
Dallas,3,2,2360,1993,456517.84
Phoenix,5,1,1126,2008,345044.78
Dallas,1,1,4592,1988,644397.87
Miami,4,1,1156,1975,443613.73
Houston,6,4,947,1976,329052.99
San Francisco,2,1,2480,1927,966998.02
Los Angeles,5,2,2623,1947,1028069.0
Seattle,4,1,3877,1920,1028069.46
Austin,3,2,4740,2012,1287630.95
San Diego,4,1,2809,1957,862361.26
Fort Worth,5,1,3312,1940,496099.71
Indianapolis,1,1,607,1990,113463.47
Austin,5,3,1267,1951,568884.61
San Jose,5,4,4478,1987,1839155.18
Denver,3,1,2298,1948,535255.99
Miami,6,5,1723,1938,699356.28
San Antonio,3,2,4512,1939,562498.05
Indianapolis,1,1,2985,1953,309511.16
Los Angeles,3,1,2488,1999,925734.78
New York,2,1,4698,1934,1550504.83
Houston,5,2,2474,1946,421210.06
Jacksonville,4,2,1819,1951,292611.77
New York,4,2,2309,1968,1041373.41
Phoenix,2,1,3037,1923,451931.87
Los Angeles,5,2,718,1977,581590.35
Austin,4,1,4386,2023,1240974.5
Columbus,2,1,4908,2017,585485.89
Charlotte,5,4,4287,1951,787466.55
Houston,3,1,4743,1949,642122.47
San Diego,5,3,1522,2003,726023.78
San Jose,5,3,2249,2014,1193163.88
Jacksonville,1,1,3831,1939,442160.46
Austin,6,1,536,1927,374196.11
Charlotte,4,2,3891,1942,643000.45
Charlotte,2,1,540,2024,203912.07
Seattle,1,1,3539,2019,1013718.71
Phoenix,1,1,2024,1950,290895.83
San Diego,6,5,3956,1979,1357026.01
Charlotte,4,3,2370,1931,445809.01
Chicago,1,1,1872,2021,378985.02
San Francisco,1,1,2719,1950,952233.17
Dallas,5,3,2824,1956,575338.02
Dallas,4,3,2320,1980,503364.8
Philadelphia,3,1,4176,2011,688124.28
Houston,2,1,1381,2014,284869.62
Chicago,5,4,2411,2004,603464.51
San Antonio,5,3,2177,1972,394282.07
San Diego,5,1,2700,1931,854143.31
San Antonio,4,1,1228,1988,244534.34
Los Angeles,1,1,2165,1990,727310.59
Indianapolis,6,5,2991,2006,489419.13
Charlotte,5,2,1788,1979,420031.17
Houston,3,2,2746,2006,461716.27
Dallas,3,1,2656,1943,416115.42
Dallas,3,2,2274,1929,370262.52
Columbus,1,1,1839,2014,248413.0
Denver,4,2,3299,2022,858381.93
San Antonio,4,3,4984,2020,740184.73
New York,3,1,594,1956,377551.01
Miami,6,1,1101,1981,544703.57
Jacksonville,3,1,2135,2012,352820.82
Denver,6,2,2480,1920,667461.22
Philadelphia,2,1,1097,1944,196904.83
Fort Worth,4,1,802,1989,229001.02
Phoenix,5,3,2955,1938,530144.52
Seattle,4,3,984,2018,592608.17
San Diego,1,1,4863,1965,1246162.57
Los Angeles,2,1,2518,1956,758184.29
Chicago,6,2,4609,1972,886146.61
Columbus,1,1,4627,1935,476108.55
San Jose,3,1,3512,1928,1234903.93
San Antonio,4,1,4072,2018,567668.36
Miami,2,1,3537,1929,788039.43
Jacksonville,3,2,4592,1932,551607.43
San Antonio,3,1,3528,1965,472435.6
Los Angeles,2,1,1015,2011,510146.54
Miami,4,2,4357,1973,1164685.42
San Jose,4,2,3332,1943,1314009.67
Jacksonville,2,1,2230,2015,343975.42
Seattle,6,5,1639,1964,790090.75
Chicago,3,2,4112,2004,731685.05
Philadelphia,4,1,2046,1922,376725.72
San Jose,5,4,2556,1981,1286119.91
New York,4,1,2204,2023,1037388.72
San Antonio,4,3,1011,1933,214323.0
Indianapolis,1,1,1394,1943,151710.08
San Antonio,3,2,597,1968,163558.89
Charlotte,5,3,1749,1956,417372.39
Los Angeles,2,1,1776,1920,553470.36
Phoenix,5,2,4716,1999,804865.37
New York,6,4,4287,2010,1958951.84
Fort Worth,2,1,634,1986,156039.09
Denver,5,3,2820,1997,783549.33
San Francisco,4,1,4387,1985,1866387.93
Fort Worth,5,3,1836,1990,428557.25
Fort Worth,2,1,2091,2018,356823.02
Houston,5,2,649,1944,220155.47
Denver,4,1,1206,2021,442221.96
Denver,5,1,4738,1922,970182.53
San Diego,3,2,4115,1922,1045340.58
Columbus,2,1,2199,1959,264487.61
San Jose,6,2,3049,2004,1531321.46
Seattle,2,1,3881,1942,938902.5
New York,1,1,3528,2004,1207295.34
Charlotte,6,4,1167,1981,396406.44
San Jose,4,2,3760,1942,1453185.63
San Diego,6,3,3728,1952,1161355.55
Charlotte,3,1,4294,1983,690245.93
Fort Worth,1,1,2780,1955,362640.37
Dallas,4,1,1955,1989,396462.03
Phoenix,4,3,3531,1986,636861.67
Philadelphia,1,1,1450,1945,223722.75
Charlotte,6,4,4096,2011,840486.17
Fort Worth,1,1,2257,2010,335309.69
New York,2,1,2354,2001,927537.78
San Jose,3,2,771,2016,606298.66
Columbus,2,1,2919,1921,301483.59
Los Angeles,5,2,4218,1922,1408288.1
Charlotte,3,1,4582,1995,769254.93
San Francisco,5,1,2925,1930,1350208.09
Indianapolis,4,3,3842,2023,525708.79
San Jose,2,1,3024,1970,1185259.92
San Diego,4,3,3040,2002,1043149.93
Charlotte,1,1,4474,1970,621710.87
Austin,5,1,3619,1933,973905.29
Los Angeles,4,1,2744,1998,1026903.62
Phoenix,5,1,3593,2011,639482.48
Indianapolis,5,3,3508,1986,465661.79
Phoenix,2,1,1917,1936,311941.63
Miami,3,2,1541,1990,548937.54
San Antonio,6,4,3033,1922,468402.27
New York,6,5,1980,2024,1269843.22
Philadelphia,3,1,676,1943,168416.95
Columbus,6,3,2292,1943,352060.33
Charlotte,6,1,3296,2004,678979.64
Phoenix,5,1,4702,1998,773558.32
Philadelphia,4,3,3322,1987,635333.41
Seattle,6,3,1345,1945,676424.01
New York,1,1,2525,1961,829904.77
Seattle,4,2,2151,2004,813486.17
Seattle,2,1,4318,1963,1087170.75
Charlotte,4,3,4503,1998,823643.64
Philadelphia,5,2,4361,1975,788229.0
Dallas,5,4,4227,1956,727565.15
San Francisco,2,1,4536,1965,1736060.2
Charlotte,1,1,4719,1997,682960.3
Philadelphia,2,1,2478,1985,428568.82
Austin,4,2,3277,2001,1041907.16
San Antonio,1,1,4918,1981,596834.45
Columbus,4,2,3404,1940,433742.62
New York,2,1,1292,2009,671427.73
Seattle,3,1,541,1949,273222.31
Fort Worth,6,4,2140,1943,432685.66
Philadelphia,6,5,754,1988,384596.64
San Jose,3,1,1728,2022,903378.96
Indianapolis,4,2,2447,1972,358654.09
Indianapolis,3,1,3069,2009,400570.0
San Antonio,4,2,4243,1993,603253.15
Dallas,2,1,2714,1979,426884.3
New York,3,1,3198,1929,1160335.04
Fort Worth,2,1,2788,1979,418392.03
San Francisco,4,3,1935,1986,1057500.47
Dallas,4,2,4130,1921,683545.86
Columbus,2,1,1346,1988,192167.05
Los Angeles,2,1,3865,1922,1142007.49
Jacksonville,6,2,3953,1972,586348.8
Los Angeles,6,3,2969,1951,1169669.25
Charlotte,4,3,3317,1928,551773.89
Columbus,6,2,1774,2003,337477.33
San Jose,5,3,625,2001,735803.34
San Jose,3,2,4895,1966,1881633.54
Charlotte,3,1,2519,2016,476842.35
Houston,3,2,4078,1987,641345.29
Chicago,1,1,2746,1927,415848.1
Dallas,2,1,3154,1933,466652.68
San Francisco,3,2,1507,1941,755007.94
San Jose,5,4,1563,1964,939279.24
San Jose,1,1,4794,2006,1769748.72
New York,1,1,4374,1927,1359992.52
Phoenix,3,1,597,1943,168648.34
Columbus,6,1,3676,1973,491845.13
Charlotte,1,1,2734,1946,403222.45
New York,3,2,2289,2012,1033389.35
Jacksonville,3,2,4303,1968,543865.87
New York,2,1,3050,1986,1125169.49
San Francisco,6,3,3144,1939,1621486.46
Fort Worth,6,5,3405,1922,590117.13
Fort Worth,4,3,4711,2022,754171.41
Dallas,3,1,3139,1966,515575.98
Los Angeles,2,1,1710,1956,558589.4
Dallas,2,1,3333,1954,512382.85
San Diego,1,1,1936,1979,549240.83
Jacksonville,5,3,4936,1991,733299.79
Austin,2,1,4552,2021,1175549.8
Fort Worth,3,2,3488,1996,542164.42
Austin,4,3,3067,1961,899367.83
Houston,3,1,2274,1924,326908.71
Los Angeles,3,1,4264,1948,1252093.92
Austin,5,2,1869,1971,662016.88
Chicago,5,3,2343,1997,600943.73
Columbus,2,1,1857,1948,224773.7
Miami,5,3,4757,1968,1278877.44
Seattle,2,1,972,1980,374923.38
Chicago,6,5,834,1956,367880.07
Los Angeles,1,1,4386,1996,1370369.41
San Jose,5,3,4763,1938,1894374.21
Austin,4,3,1664,1928,596550.09
San Antonio,3,1,2937,2013,437313.16
Columbus,2,1,4961,1948,533921.91
Chicago,5,4,1583,1944,448247.6
Miami,6,4,4158,2006,1274523.96
New York,3,2,4935,1991,1766985.08
Charlotte,5,3,2212,1953,492301.01
Philadelphia,6,4,1801,1979,462084.27
San Francisco,5,2,1642,1984,1012418.15
New York,5,4,2109,2009,1224084.88
San Francisco,5,2,4386,2015,2078722.34
Houston,4,2,1238,2016,337293.36
Fort Worth,6,5,3454,1920,579279.09
San Jose,3,2,2961,1978,1231908.66
Jacksonville,5,1,4719,1958,634881.33
Philadelphia,4,1,2723,1998,521306.95
Miami,2,1,4284,1962,988015.21
Houston,6,1,1070,1940,275562.37
San Francisco,5,1,2256,1932,1084152.7
Jacksonville,3,1,634,2007,190892.26
Chicago,4,1,2437,1948,459759.3
Dallas,6,5,3144,1977,645252.77
Columbus,5,1,773,2009,210342.31
Fort Worth,2,1,1999,1969,317657.03
Philadelphia,2,1,3603,2002,585491.91
Chicago,4,2,1610,2023,454303.24
Los Angeles,6,2,2138,1935,922623.99
Columbus,1,1,2112,1930,218453.81
Fort Worth,6,3,2147,2010,494693.32
San Francisco,2,1,3876,1966,1443092.22
Philadelphia,4,3,2098,1973,453593.76
Dallas,5,4,2823,1982,597815.96
Chicago,6,4,628,1951,345258.23
Houston,2,1,4750,1982,662612.72
Miami,6,3,1108,1951,554173.33
San Diego,4,1,1457,2014,654263.0
Philadelphia,5,1,3910,1961,685713.17
San Jose,3,2,2953,1947,1184402.55
Chicago,4,1,1966,1986,447959.43
Chicago,5,4,4781,2000,982874.09
Houston,1,1,3817,1982,500303.26
Chicago,3,2,2724,2021,550350.44
Charlotte,6,4,4889,1948,889455.39
Phoenix,6,2,1799,1930,416453.72
Jacksonville,6,3,939,1939,272286.64
Austin,5,4,2081,2012,815942.59
Philadelphia,1,1,3566,1992,542990.39
Phoenix,5,4,2423,1950,523450.72
Fort Worth,2,1,4803,1935,592286.74
San Francisco,1,1,1521,2004,705371.08
San Francisco,2,1,3314,2021,1455674.65
Seattle,2,1,3086,1948,799938.96
San Antonio,6,4,3763,1939,571102.81
Charlotte,5,1,4799,1943,757395.25
Houston,1,1,4465,1990,618886.92
Austin,2,1,2999,1975,781083.12
San Diego,2,1,2979,1949,776895.0
Dallas,2,1,4487,1976,681130.97
Fort Worth,4,2,971,1960,253343.45
Indianapolis,4,2,3206,1968,398137.79
Seattle,6,4,955,2007,653270.88
Columbus,4,1,3071,1930,373701.85
Miami,3,2,3082,1933,758609.17
New York,2,1,3298,2019,1265057.57
Austin,2,1,4870,1947,1175382.77
